sheet,displacement_m,crs_source
6441-4,0.00,declared
6440-2,,nogcp
6441-2,,nogcp
6343-1,0.00,declared
6738-2,0.00,declared
6332-3,0.00,forced
6030-2,481.04,indian1960
6231-3,489.68,indian1960
6736-4,0.00,indian1960
6431-4,500.60,indian1960
6530-1,11.13,indian1960
6433-2,0.00,forced
6631-4,513.50,indian1960
6441-1,,nogcp
6631-2,517.65,indian1960
6540-4,0.00,forced
6532-3,506.10,indian1960
6733-3,517.16,indian1960
6432-2,502.87,indian1960
5929-1,0.00,forced
6328-3,501.17,indian1960
6442-3,0.00,declared
6738-4,0.00,declared
6153-2,446.21,indian1960
6054-2,437.74,indian1960
6251-3,0.00,forced
5953-1,431.34,indian1960
6048-1,446.00,indian1960
6440-4,,nogcp
5851-4,423.63,indian1960
6050-3,0.00,forced
5951-4,0.00,forced
6253-4,449.04,indian1960
5951-1,0.00,forced
6047-4,444.15,indian1960
6534-1,504.64,indian1960
6635-3,506.98,indian1960
5848-3,429.28,indian1960
6046-3,446.69,indian1960
5750-2,,nogcp
6243-4,0.00,forced
5651-2,413.73,indian1960
5949-3,,nogcp
6441-3,,nogcp
5753-4,413.50,indian1960
5554-3,398.40,indian1960
6054-1,437.06,indian1960
5851-3,,nogcp
5851-1,427.18,indian1960
5754-4,,nogcp
6439-1,,nogcp
5454-2,394.79,indian1960
6634-3,508.83,indian1960
6734-4,514.42,indian1960
6734-3,515.33,indian1960
5651-1,412.94,indian1960
5947-1,440.65,indian1960
5651-3,410.16,indian1960
5950-2,436.58,indian1960
5852-3,422.87,indian1960
5654-3,,nogcp
5652-1,411.40,indian1960
6144-3,,nogcp
6533-2,507.44,indian1960
6834-1,0.00,forced
6048-4,442.50,indian1960
5650-1,,offcell
6635-2,510.25,indian1960
5946-1,,nogcp
6440-3,,nogcp
5847-2,,nogcp
5848-2,432.80,indian1960
6634-2,512.08,indian1960
6635-4,506.07,indian1960
6243-3,,nogcp
6439-2,0.00,forced
5948-1,438.99,indian1960
5947-4,437.15,indian1960
6536-1,0.00,forced
5853-2,424.94,indian1960
6154-4,0.00,forced
6532-2,509.33,indian1960
6540-2,0.00,declared
6736-1,,nogcp
6452-2,468.64,indian1960
6739-1,0.00,declared
6232-2,490.90,indian1960
6534-3,,offcell
6534-4,,nogcp
6837-4,0.00,declared
6433-3,,offcell
6633-4,509.75,indian1960
6734-2,518.57,indian1960
6634-1,0.00,forced
6633-1,513.00,indian1960
6733-1,0.00,forced
6735-4,512.61,indian1960
6634-4,507.90,indian1960
6535-2,0.00,forced
6026-4,485.31,indian1960
6342-1,,nogcp
6046-1,449.31,indian1960
6451-2,470.07,indian1960
6832-4,524.51,indian1960
6129-2,489.55,indian1960
6736-2,0.00,forced
6254-2,451.87,indian1960
6129-4,485.31,indian1960
6450-3,468.07,indian1960
6228-4,493.78,indian1960
6244-3,0.00,declared
6030-3,,nogcp
6451-4,465.87,indian1960
6028-4,0.00,declared
6635-1,509.34,indian1960
6053-2,439.14,indian1960
6050-4,439.33,indian1960
6152-4,0.00,forced
6153-3,442.68,indian1960
6147-3,451.95,indian1960
6152-1,0.00,forced
6429-1,11.24,indian1960
6153-4,441.98,indian1960
5753-2,417.81,indian1960
6351-4,458.89,indian1960
6636-1,0.00,indian1960
6638-2,0.00,declared
6531-1,510.28,indian1960
6029-2,483.15,indian1960
6243-1,0.00,declared
5947-2,442.35,indian1960
6326-3,,nogcp
6248-4,456.47,indian1960
5847-1,433.64,indian1960
6349-4,461.88,indian1960
6632-1,0.00,declared
6539-3,,nogcp
6640-4,0.00,forced
6632-2,515.78,indian1960
6152-3,0.00,forced
6433-1,,nogcp
6538-3,0.00,declared
6438-1,,nogcp
6538-2,,nogcp
6638-1,0.00,forced
6538-4,,offcell
6551-4,472.83,indian1960
6633-2,0.00,declared
6632-3,512.56,indian1960
6432-3,0.00,forced
5651-4,0.00,forced
6452-3,0.00,forced
6431-2,504.80,indian1960
6052-3,437.06,indian1960
6732-4,0.00,declared
6835-3,0.00,forced
6352-4,0.00,forced
6028-3,0.00,declared
6343-4,0.00,declared
5928-2,0.00,forced
6352-2,461.67,indian1960
6432-4,498.66,indian1960
6048-2,446.82,indian1960
5928-1,477.81,indian1960
6351-3,459.62,indian1960
6332-2,496.39,indian1960
6835-4,,nogcp
6230-1,492.91,indian1960
6230-4,,nogcp
6028-1,484.20,indian1960
6533-4,504.20,indian1960
6432-1,0.00,forced
6533-1,0.00,forced
5729-2,,nogcp
6026-3,486.39,indian1960
6733-2,0.00,declared
6253-2,453.25,indian1960
6539-2,0.00,forced
6639-2,0.00,declared
6532-4,505.15,indian1960
6027-2,487.40,indian1960
6738-3,0.00,declared
5654-1,,nogcp
5453-1,395.53,indian1960
6127-2,493.73,indian1960
6551-1,0.00,declared
6150-1,449.87,indian1960
5954-1,429.95,indian1960
6151-2,449.12,indian1960
6145-1,457.94,indian1960
6836-1,,nogcp
6250-1,456.87,indian1960
6442-2,0.00,declared
6630-1,10.80,indian1960
6731-4,519.92,indian1960
6530-2,11.01,indian1960
6631-3,0.00,declared
6053-3,435.60,indian1960
6639-4,0.00,declared
6640-3,0.00,declared
6231-2,491.90,indian1960
6050-1,442.85,indian1960
5954-3,427.08,indian1960
6051-2,442.09,indian1960
6737-1,0.00,declared
6640-1,0.00,declared
6049-4,440.89,indian1960
5929-3,473.53,indian1960
5728-1,,nogcp
6833-2,,nogcp
6450-4,467.33,indian1960
6030-1,,nogcp
6144-2,0.00,forced
6250-3,454.14,indian1960
6342-3,0.00,declared
6145-3,0.00,forced
6450-1,470.80,indian1960
6550-1,,nogcp
6550-4,,nogcp
6551-2,,nogcp
6737-3,0.00,declared
6539-1,0.00,forced
6048-3,443.32,indian1960
6250-4,453.38,indian1960
6128-2,491.63,indian1960
5947-3,438.00,indian1960
6229-4,491.73,indian1960
6028-2,485.26,indian1960
5929-4,,nogcp
6144-1,0.00,declared
5852-4,422.12,indian1960
5752-3,0.00,forced
6737-4,0.00,declared
6538-1,0.00,declared
6637-1,0.00,declared
6638-3,0.00,declared
6637-4,0.00,declared
6532-1,508.38,indian1960
6245-2,465.69,indian1960
6252-4,450.44,indian1960
6145-2,458.80,indian1960
6227-4,495.85,indian1960
6639-3,0.00,declared
5653-3,407.07,indian1960
6733-4,516.24,indian1960
6049-1,444.40,indian1960
6049-3,441.69,indian1960
5950-1,0.00,forced
6053-4,434.89,indian1960
6252-2,454.67,indian1960
6243-2,0.00,declared
5953-2,432.06,indian1960
6047-3,444.99,indian1960
6352-1,460.96,indian1960
6050-2,443.62,indian1960
6451-3,466.60,indian1960
6049-2,445.20,indian1960
5954-2,430.64,indian1960
5754-2,,nogcp
5753-1,417.08,indian1960
6052-2,440.59,indian1960
6834-4,520.92,indian1960
6332-4,,nogcp
6431-1,503.83,indian1960
6128-3,0.00,forced
6228-3,494.82,indian1960
6029-1,482.09,indian1960
6155-3,,nogcp
5953-3,428.50,indian1960
6251-1,455.39,indian1960
6155-2,,nogcp
6344-3,0.00,forced
6739-4,0.00,declared
6732-3,0.00,forced
6531-4,0.00,forced
5751-2,0.00,forced
6149-2,0.00,forced
6638-4,0.00,declared
6229-1,494.93,indian1960
6738-1,0.00,declared
6252-3,451.16,indian1960
5950-4,432.27,indian1960
6130-1,,offcell
6540-3,0.00,declared
5652-3,0.00,forced
5553-1,402.73,indian1960
5552-1,404.23,indian1960
6054-4,433.51,indian1960
5852-2,426.42,indian1960
5754-3,412.78,indian1960
5750-1,,nogcp
5753-3,414.23,indian1960
5854-4,,nogcp
5751-3,0.00,forced
5948-3,0.00,forced
5950-3,,nogcp
5553-2,403.48,indian1960
5847-4,430.13,indian1960
5553-4,399.13,indian1960
5553-3,399.88,indian1960
5652-4,407.82,indian1960
5752-2,0.00,forced
6130-2,0.00,forced
6343-3,0.00,forced
6353-3,456.76,indian1960
6153-1,445.51,indian1960
6055-2,436.39,indian1960
6055-3,432.84,indian1960
6054-3,434.20,indian1960
5926-1,482.15,indian1960
6249-4,454.91,indian1960
5653-2,411.40,indian1960
6154-1,444.14,indian1960
5854-3,419.94,indian1960
5853-1,,nogcp
6047-1,447.64,indian1960
6148-4,,nogcp
6342-4,0.00,declared
6154-2,444.82,indian1960
6146-2,,offcell
5952-3,429.97,indian1960
6533-3,505.15,indian1960
6833-3,523.61,indian1960
6245-4,461.40,indian1960
6149-1,451.41,indian1960
6250-2,457.63,indian1960
6833-4,0.00,forced
6834-2,525.04,indian1960
6833-1,525.93,indian1960
6832-1,527.72,indian1960
6254-3,448.35,indian1960
5951-2,435.03,indian1960
6352-3,458.17,indian1960
6433-4,,nogcp
6434-1,,nogcp
5854-2,423.51,indian1960
6053-1,438.44,indian1960
6539-4,,nogcp
6436-1,,nogcp
6251-2,456.13,indian1960
6732-2,0.00,forced
6731-3,520.85,indian1960
6249-3,455.69,indian1960
6632-4,0.00,declared
6633-3,0.00,declared
6252-1,453.95,indian1960
