  6146-2    pdf mean    1126 m  worst    1982 m  Nghi Xuan
  6349-4    pdf mean     788 m  worst    1760 m  Cua Tra Ly
  6630-4    pdf mean     665 m  worst    2630 m  Xa Phan Thiet
  6832-1    pdf mean     533 m  worst     539 m  Nui Cam Linh
  6833-3    pdf mean     533 m  worst     543 m  Nha Trang
  6731-4    pdf mean     532 m  worst     536 m  Hai Ninh
  6832-3    pdf mean     529 m  worst     541 m  Thanh Hai
  6834-3    pdf mean     528 m  worst     533 m  Van Gia
  6833-1    pdf mean     528 m  worst     532 m  Ninh Phuoc
  6832-4    pdf mean     526 m  worst     533 m  Cam Ranh
  6831-4    pdf mean     526 m  worst     531 m  Thon Son Hai
  6734-1    pdf mean     526 m  worst     530 m  Phu Duc
  6834-4    pdf mean     525 m  worst     535 m  Lien Thach
  6732-1    pdf mean     524 m  worst     535 m  Thon Ma Ty
  6835-1    pdf mean     524 m  worst     528 m  Tuy An
  6834-2    pdf mean     523 m  worst     531 m  Ninh Lam
  6735-4    pdf mean     523 m  worst     532 m  Buon Thoat
  6836-3    pdf mean     522 m  worst     530 m  Thach Khe
  6734-2    pdf mean     520 m  worst     528 m  Buon Ea Thi
  6734-3    pdf mean     520 m  worst     525 m  Ban Mtrong
  6733-3    pdf mean     519 m  worst     533 m  B Du Damour
  6635-1    pdf mean     518 m  worst     534 m  Cheo Reo
  6532-1    pdf mean     518 m  worst     521 m  Kro Layu
  6733-4    pdf mean     518 m  worst     521 m  Lak Ea Gam
  6735-2    pdf mean     518 m  worst     532 m  Son Hoa
  6632-3    pdf mean     517 m  worst     522 m  Di Linh
  6531-1    pdf mean     517 m  worst     519 m  Cirlao Da Srang
  6632-2    pdf mean     517 m  worst     524 m  Dai Ninh
  6631-4    pdf mean     517 m  worst     527 m  Ap Gia Bac
  6736-3    pdf mean     516 m  worst     524 m  Plei Djama
  6634-2    pdf mean     515 m  worst     521 m  Ban Ti Srenh
  6533-2    pdf mean     515 m  worst     530 m  Ban Ndoh
  6635-3    pdf mean     515 m  worst     517 m  Ban Drang
  6735-1    pdf mean     514 m  worst     519 m  Triem Duc
  6633-4    pdf mean     514 m  worst     520 m  Buon Dong Bak
  6734-4    pdf mean     514 m  worst     527 m  Ban Mgam
  6533-4    pdf mean     513 m  worst     572 m  Duc Minh
  6533-3    pdf mean     512 m  worst     526 m  Nghia Tin
  6635-4    pdf mean     512 m  worst     532 m  Ban Tsham
  6635-2    pdf mean     512 m  worst     515 m  Ban Suk Hdrah
  6633-1    pdf mean     512 m  worst     518 m  Buon Ja Ea Kuat
  6636-2    pdf mean     511 m  worst     515 m  Phu Thien
  6532-2    pdf mean     511 m  worst     535 m  Bao Loc
  6634-3    pdf mean     509 m  worst     511 m  Ban Me Thuot
  6536-2    pdf mean     509 m  worst     514 m  Xuong Kuang
  6534-1    pdf mean     509 m  worst     520 m  Ban Don
  6636-3    pdf mean     508 m  worst     512 m  Phu Nhon
  6431-4    pdf mean     507 m  worst     514 m  Ap Cau Cay
  6634-4    pdf mean     506 m  worst     517 m  Buon Trap
  6432-2    pdf mean     505 m  worst     507 m  B Rdu
  6532-4    pdf mean     505 m  worst     511 m  Gia Nghia
  6431-1    pdf mean     504 m  worst     522 m  Loi Tan
  6128-2    pdf mean     500 m  worst     517 m  Khanh Hung
  6332-2    pdf mean     500 m  worst     516 m  Dong Xoai
  6228-3    pdf mean     499 m  worst     503 m  Long Pu
  6232-2    pdf mean     499 m  worst     569 m  Bo Tuc
  6229-1    pdf mean     499 m  worst     511 m  Mi Tho
  6228-4    pdf mean     499 m  worst     510 m  Cau Ke
  6027-1    pdf mean     498 m  worst     507 m  Phuoc Long
  6331-1    pdf mean     498 m  worst     504 m  Phuoc Vinh
  6227-4    pdf mean     498 m  worst     509 m  Lac Hoa
  6229-3    pdf mean     498 m  worst     500 m  Vung Liem
  6230-1    pdf mean     497 m  worst     509 m  Duc Hoa
  6432-4    pdf mean     496 m  worst     512 m  Dong Sre Viet
  6128-4    pdf mean     495 m  worst     505 m  Rach Goi
  6127-2    pdf mean     495 m  worst     509 m  Giong Giua
  6231-3    pdf mean     495 m  worst     566 m  An Thanh
  6230-2    pdf mean     495 m  worst     502 m  Tan An
  6129-1    pdf mean     495 m  worst     506 m  Sa Dec
  6127-1    pdf mean     494 m  worst     495 m  Vinh Chau
  6231-2    pdf mean     494 m  worst     498 m  Hieu Thien
  6231-4    pdf mean     493 m  worst     501 m  Tay Ninh
  6229-4    pdf mean     493 m  worst     494 m  Khiem Ich
  6229-2    pdf mean     493 m  worst     498 m  Truc Giang
  6228-1    pdf mean     492 m  worst     499 m  Phu Vinh
  6026-3    pdf mean     492 m  worst     501 m  Duong Keo
  6028-1    pdf mean     491 m  worst     496 m  Duc Long
  6027-2    pdf mean     489 m  worst     506 m  Gia Rai
  6129-4    pdf mean     489 m  worst     505 m  Cao Lanh
  6027-3    pdf mean     488 m  worst     494 m  Quan Long
  6026-4    pdf mean     488 m  worst     499 m  Cai Nuoc
  6027-4    pdf mean     485 m  worst     492 m  Thoi Binh
  6029-4    pdf mean     485 m  worst     490 m  Tri Ton
  6029-2    pdf mean     485 m  worst     503 m  Co Do
  6127-4    pdf mean     485 m  worst     504 m  Vinh Loi
  5927-2    pdf mean     484 m  worst     496 m  Song Ong Doc
  5926-1    pdf mean     482 m  worst     488 m  Nam Can
  6551-4    pdf mean     481 m  worst     501 m  Dam Ha
  6029-3    pdf mean     481 m  worst     486 m  Rach Gia
  6631-1    pdf mean     478 m  worst     522 m  Soprai
  6532-3    pdf mean     477 m  worst     517 m  B Dan Deung
  6451-4    pdf mean     473 m  worst     482 m  Chau Son
  6030-2    pdf mean     473 m  worst     486 m  An Long
  6451-2    pdf mean     472 m  worst     474 m  Cam Pha
  6352-3    pdf mean     471 m  worst     476 m  On
  5929-3    pdf mean     470 m  worst     488 m  Hon Chong
  6450-1    pdf mean     469 m  worst     475 m  Ile Longue
  6450-3    pdf mean     469 m  worst     474 m  Cat Ba
  6451-3    pdf mean     468 m  worst     479 m  Lang Troi
  6351-4    pdf mean     467 m  worst     477 m  Chu
  6352-2    pdf mean     465 m  worst     471 m  Dong Quan
  6450-4    pdf mean     465 m  worst     469 m  Hong Gai
  6351-2    pdf mean     465 m  worst     473 m  Uong Bi
  6250-2    pdf mean     464 m  worst     471 m  Ninh Giang
  6352-1    pdf mean     463 m  worst     470 m  Lang Son
  6252-2    pdf mean     462 m  worst     466 m  Lang Met
  6250-1    pdf mean     462 m  worst     469 m  Hai Duong
  6245-4    pdf mean     462 m  worst     465 m  Nhuong Ban
  6146-3    pdf mean     461 m  worst     480 m  Vinh
  6146-4    pdf mean     461 m  worst     463 m  Phu Dien Chau
  6351-3    pdf mean     460 m  worst     464 m  Dong Trieu
  6252-3    pdf mean     459 m  worst     464 m  Mo Trang
