sheet,reject,corners_ok,quad_ok,quad_why,edges,residuals
6440-2,NOGEO,4,1,,LRTB,0.3 0.1 0.0 0.1
6441-2,NOGEO,4,1,,LRTB,0.3 0.2 0.4 0.4
6441-1,NOGEO,4,1,,LRTB,0.2 0.4 0.1 0.3
6440-4,NOGEO,2,1,,LRT.,0.3 0.2 0.5 0.9
5750-2,NOGEO,2,1,,LRT.,0.3 0.3 0.3 3.2
5949-3,NOGEO,2,1,,LRT.,0.5 0.2 0.2 0.0
6441-3,NOGEO,0,1,,LR..,0.3 0.2 2.8 2.8
5851-3,NOGEO,0,1,,LR..,0.3 0.2 0.3 0.2
5754-4,NOGEO,0,1,,LR..,0.2 0.0 0.2 4.6
6439-1,NOGEO,0,1,,LR..,0.2 0.2 5.0 1.0
5654-3,NOGEO,0,0,opposite edges disagree,.R..,0.1 0.3 20.4 0.2
6144-3,NOGEO,4,1,,LRTB,0.3 0.4 0.1 0.3
5650-1,OFFCELL,4,1,,LRTB,0.4 0.4 0.3 0.3
5946-1,NOGEO,4,1,,LRTB,0.3 0.3 0.3 0.1
6440-3,NOGEO,0,0,opposite edges disagree,.RT.,0.3 0.3 0.2 19.6
5847-2,NOGEO,4,1,,LRTB,0.2 0.3 1.3 0.1
6243-3,NOGEO,2,1,,LRT.,0.3 0.1 0.1 7.9
6736-1,NOGEO,2,1,,L.TB,0.5 0.4 0.4 0.3
6534-3,OFFCELL,4,1,,LRTB,0.3 0.3 0.3 0.3
6534-4,NOGEO,2,1,,LRT.,0.4 0.3 0.4 6.1
6433-3,OFFCELL,4,1,,LRTB,0.3 0.2 0.3 0.3
6342-1,NOGEO,0,0,opposite edges disagree,L.T.,0.3 32.4 0.3 8.5
6030-3,NOGEO,0,0,opposite edges disagree,....,20.5 19.3 6.9 99.3
6326-3,NOGEO,0,0,opposite edges disagree,.R..,7.4 0.2 0.2 37.5
6539-3,NOGEO,4,1,,LRTB,0.3 0.3 0.5 0.5
6433-1,NOGEO,0,0,opposite edges disagree,.RT.,0.2 0.2 0.2 98.3
6438-1,NOGEO,0,0,opposite edges disagree,LRT.,0.4 0.4 0.3 108.3
6538-2,NOGEO,2,1,,LRT.,0.2 1.1 0.3 0.5
6538-4,OFFCELL,4,1,,LRTB,0.3 0.3 0.3 0.3
6835-4,NOGEO,0,1,,L...,0.2 0.1 0.4 1.8
6230-4,NOGEO,-1,,no answer,,
5729-2,NOGEO,0,0,opposite edges disagree,....,0.4 9.4 0.2 54.1
5654-1,NOGEO,0,0,opposite edges disagree,.RTB,25.9 0.3 0.3 0.2
6836-1,NOGEO,0,0,opposite edges disagree,....,54.2 67.0 152.6 15.9
5728-1,NOGEO,-1,,no answer,,
6833-2,NOGEO,0,0,opposite edges disagree,....,71.7 65.4 10.1 2.4
6030-1,NOGEO,0,0,edge not near the image axis,....,83.4 111.4 108.6 51.4
6550-1,NOGEO,0,0,opposite edges disagree,....,0.9 85.5 11.4 13.0
6550-4,NOGEO,0,0,opposite edges disagree,....,0.6 94.8 1.0 0.5
6551-2,NOGEO,0,0,opposite edges disagree,....,17.3 29.0 4.7 16.5
5929-4,NOGEO,0,0,opposite edges disagree,...B,33.2 3.7 106.2 0.2
5754-2,NOGEO,2,1,,LRT.,0.5 0.2 0.2 3.6
6332-4,NOGEO,4,1,,LRTB,0.1 0.1 0.1 0.4
6155-3,NOGEO,0,0,opposite edges disagree,....,0.3 7.2 17.5 0.2
6155-2,NOGEO,0,0,opposite edges disagree,....,0.2 15.3 29.4 0.3
6130-1,OFFCELL,0,0,opposite edges disagree,....,66.8 69.4 107.8 34.1
5750-1,NOGEO,2,1,,.RTB,0.3 0.2 0.2 0.3
5854-4,NOGEO,0,0,opposite edges disagree,....,0.2 0.4 17.3 24.3
5950-3,NOGEO,4,1,,LRTB,0.2 0.3 0.4 0.3
5853-1,NOGEO,0,1,,LR..,0.2 0.2 3.9 0.1
6148-4,NOGEO,0,0,opposite edges disagree,....,1.5 0.3 13.4 0.2
6146-2,OFFCELL,0,0,opposite edges disagree,.RT.,0.5 0.3 0.4 12.4
6433-4,NOGEO,0,1,,...B,0.1 0.3 2.5 0.3
6434-1,NOGEO,0,0,opposite edges disagree,LR.B,0.2 0.2 7.8 0.6
6539-4,NOGEO,4,1,,LRTB,0.3 0.3 0.1 0.1
6436-1,NOGEO,0,1,,LR..,0.3 0.2 8.0 8.7
5554-4,NOGEO,0,0,opposite edges disagree,L..B,0.8 0.2 2.9 0.2
6437-1,NOGEO,4,1,,LRTB,0.4 1.0 0.2 0.1
5454-1,NOGEO,0,0,opposite edges disagree,....,20.8 26.7 53.8 4.0
5949-1,NOGEO,4,1,,LRTB,0.3 0.4 0.3 0.3
6636-4,OFFCELL,0,0,opposite edges disagree,....,46.5 1.2 61.6 22.8
6537-4,NOGEO,4,1,,LRTB,0.3 0.3 0.1 0.1
6131-3,NOGEO,0,0,opposite edges disagree,....,63.3 89.4 128.3 158.6
6232-3,NOGEO,0,0,edge not near the image axis,LR..,0.2 0.2 4.8 0.1
6030-4,NOGEO,0,0,opposite edges disagree,....,66.0 101.7 135.5 34.5
6530-3,OFFGRID,0,1,,..TB,0.3 0.2 0.3 0.3
6731-1,OFFCELL,0,0,opposite edges disagree,L..B,0.4 0.2 31.4 0.3
6147-1,OFFCELL,0,0,opposite edges disagree,.RTB,22.5 0.3 0.4 0.1
6130-4,NOGEO,0,0,opposite edges disagree,....,88.9 55.7 121.8 154.9
5948-4,NOGEO,0,1,,LR..,0.3 0.0 0.2 0.2
5729-1,OFFCELL,0,0,opposite edges disagree,....,2.4 65.6 10.0 0.3
5926-2,OFFCELL,0,0,opposite edges disagree,.R.B,10.7 0.4 9.5 0.6
