sheet_a,kind_a,sheet_b,kind_b,edge,median_m,max_m,samples
5453-1,pdf,5454-2,pdf,N,3.8753931236812145,9.768556111417475,25
5453-1,pdf,5553-4,pdf,E,2.824931600847902,10.151990306393111,25
5454-2,pdf,5554-3,pdf,E,0.8070607843278056,5.895628137147581,25
5552-1,pdf,5553-2,pdf,N,10.87417144103117,11.013137943504471,25
5552-1,pdf,5652-4,pdf,E,4.096576047931953,7.409475389803462,25
5553-1,pdf,5653-4,pdf,E,5.081073810477809,11.675080831456741,25
5553-1,pdf,5553-2,pdf,S,2.1440532035174327,3.9113427583035043,25
5553-1,pdf,5553-4,pdf,W,8.854398768421856,12.509884696586258,25
5553-2,pdf,5653-3,pdf,E,2.3278167320443366,11.652062985430057,25
5553-2,pdf,5553-3,pdf,W,5.578297366143753,12.61384059638396,25
5553-3,pdf,5553-4,pdf,N,10.415102799558309,23.404050082835845,25
5553-4,pdf,5554-3,pdf,N,7.399686920689536,13.145213067019712,25
5651-1,pdf,5652-2,pdf,N,1.0236674297983714,1.8668966057768788,25
5651-1,pdf,5751-4,pdf,E,407.90390678013176,411.35182246374785,25
5651-1,pdf,5651-2,pdf,S,7.007700105599675,8.417724605556677,25
5651-1,pdf,5651-4,pdf,W,385.0347699695316,390.70865015487294,25
5651-2,pdf,5751-3,pdf,E,400.3048158166692,412.6938841525913,25
5651-2,pdf,5651-3,pdf,W,3.1644934052542344,9.618141900793905,25
5651-3,pdf,5651-4,pdf,N,110.2375112882452,111.63134798719614,25
5651-4,pdf,5652-3,pdf,N,9.397707693334025,12.490670972977695,25
5652-1,pdf,5653-2,pdf,N,14.806655584744554,17.899343858823226,25
5652-1,pdf,5752-4,pdf,E,4.221969467653415,5.932435459499948,25
5652-1,pdf,5652-2,pdf,S,2.2593969445406406,5.144437052046611,25
5652-1,pdf,5652-4,pdf,W,10.900733723552236,15.43215517350128,25
5652-2,pdf,5752-3,pdf,E,414.39764889259607,421.74770877358725,25
5652-2,pdf,5652-3,pdf,W,389.97271329952366,391.51398147576515,25
5652-3,pdf,5652-4,pdf,N,136.98760502539227,138.75566638886056,25
5652-4,pdf,5653-3,pdf,N,7.239564396525849,14.416370463876591,25
5653-1,pdf,5654-2,pdf,N,21.56782739929372,39.68197892399939,25
5653-1,pdf,5753-4,pdf,E,5.375033681407417,8.483897457297436,25
5653-1,pdf,5653-2,pdf,S,5.680770554323212,9.538741960847878,25
5653-1,pdf,5653-4,pdf,W,1.7175638084785254,111.18928977431798,25
5653-2,pdf,5753-3,pdf,E,14.028401266324302,16.575967687945877,25
5653-2,pdf,5653-3,pdf,W,3.429493976363198,10.219447379772028,25
5653-3,pdf,5653-4,pdf,N,6.464140522817435,8.647962280942712,25
5654-2,pdf,5754-3,pdf,E,4.5871187473020045,8.291425499937818,25
5750-4,pdf,5751-3,pdf,N,5.527164390660618,7.2930544716026775,25
5751-1,pdf,5752-2,pdf,N,126.23709517250929,128.7359069838105,25
5751-1,pdf,5851-4,pdf,E,15.17254393216676,18.083107301621055,25
5751-1,pdf,5751-2,pdf,S,135.4221743056889,142.99591970969246,25
5751-1,pdf,5751-4,pdf,W,387.5827808062249,391.38917824196466,25
5751-2,pdf,5751-3,pdf,W,6.752382152643877,15.47878302673046,25
5751-3,pdf,5751-4,pdf,N,19.343895578290375,21.55375764685446,25
5751-4,pdf,5752-3,pdf,N,12.158556607035765,14.808787207520407,25
5752-1,pdf,5753-2,pdf,N,3.200685674223745,8.449204976907554,25
5752-1,pdf,5852-4,pdf,E,5.546965197926268,11.63897581284453,25
5752-1,pdf,5752-2,pdf,S,135.04298561335685,139.2463122223137,25
5752-1,pdf,5752-4,pdf,W,7.9308517632038935,19.05274943950349,25
5752-2,pdf,5852-3,pdf,E,400.7430174396988,411.8256241565159,25
5752-2,pdf,5752-3,pdf,W,15.004995656473136,15.408068765588308,25
5752-3,pdf,5752-4,pdf,N,131.05986277408257,142.80547643247385,25
5752-4,pdf,5753-3,pdf,N,23.23371224123883,25.051686906182816,25
5753-1,pdf,5853-4,pdf,E,5.728776536106939,6.7900925009186865,25
5753-1,pdf,5753-2,pdf,S,3.785564985393127,6.625167070552121,25
5753-1,pdf,5753-4,pdf,W,10.324575995445407,17.15309507592943,25
5753-2,pdf,5853-3,pdf,E,399.10927434854335,399.3904727577503,25
5753-2,pdf,5753-3,pdf,W,3.291355131006613,6.63440338527293,25
5753-3,pdf,5753-4,pdf,N,16.221079000357655,19.018472654044622,25
5753-4,pdf,5754-3,pdf,N,12.251347132324813,16.914863457644724,25
5847-1,pdf,5848-2,pdf,N,7.91305943921754,9.433553003302908,25
5847-1,pdf,5947-4,pdf,E,3.679235646165442,4.097016010469436,25
5847-1,pdf,5847-4,pdf,W,6.913681860685643,13.202853323153798,25
5847-4,pdf,5848-3,pdf,N,4.069780371333658,8.588704929478272,25
5848-2,pdf,5948-3,pdf,E,420.47500846107965,431.1075864972238,25
5848-2,pdf,5848-3,pdf,W,4.586721707175239,6.2096229422081635,25
5850-1,pdf,5851-2,pdf,N,4.719080267235709,12.2285491016352,25
5850-1,pdf,5950-4,pdf,E,396.8469488923182,399.48954409926483,25
5851-1,pdf,5852-2,pdf,N,5.003487878897895,7.696414619418144,25
5851-1,pdf,5951-4,pdf,E,416.7058694185578,420.5555767142543,25
5851-1,pdf,5851-2,pdf,S,141.46848317140936,146.08089982539673,25
5851-1,pdf,5851-4,pdf,W,9.816107522156823,12.726896827303996,25
5851-2,pdf,5951-3,pdf,E,400.8411937683876,401.39988929242384,25
5851-4,pdf,5852-3,pdf,N,3.3161999998744562,8.394930249998826,25
5852-1,pdf,5853-2,pdf,N,5.320208817745224,19.575210680710963,25
5852-1,pdf,5952-4,pdf,E,421.8747811398526,427.5953734852799,25
5852-1,pdf,5852-2,pdf,S,5.428155889640611,11.439264371837556,25
5852-1,pdf,5852-4,pdf,W,8.381117543301896,16.81718035454032,25
5852-2,pdf,5952-3,pdf,E,3.2934641938911935,15.69616048327548,25
5852-2,pdf,5852-3,pdf,W,6.74468669226354,13.976482927267039,25
5852-3,pdf,5852-4,pdf,N,10.708685770473137,30.46300192182447,25
5852-4,pdf,5853-3,pdf,N,118.63625611648246,124.38493189887468,25
5853-2,pdf,5953-3,pdf,E,2.2808749411657514,5.065237850500884,25
5853-2,pdf,5853-3,pdf,W,404.2369404760984,407.24542309399,25
