sheet_a,kind_a,sheet_b,kind_b,edge,median_m,max_m,samples
5453-1,pdf,5454-2,pdf,N,3.239860792036613,8.344320591295352,25
5453-1,pdf,5553-4,pdf,E,2.794267772208795,11.215767719884854,25
5454-2,pdf,5554-3,pdf,E,1.2554197648950491,5.642354007239774,25
5552-1,pdf,5553-2,pdf,N,11.4064535491097,11.684373226149113,25
5552-1,pdf,5652-4,pdf,E,4.646635650249142,7.547535266948542,25
5553-1,pdf,5653-4,pdf,E,5.656800188056279,12.666825512514178,25
5553-1,pdf,5553-2,pdf,S,2.7634080887811407,4.0890686324831655,25
5553-1,pdf,5553-4,pdf,W,9.112904828586043,13.043693494790977,25
5553-2,pdf,5653-3,pdf,E,2.514251091379732,11.451544743565147,25
5553-2,pdf,5553-3,pdf,W,6.676645508646938,13.716957314459501,25
5553-3,pdf,5553-4,pdf,N,11.000941741589637,22.959494116694472,25
5553-4,pdf,5554-3,pdf,N,7.183899076026688,12.930722203730568,25
5651-1,pdf,5652-2,pdf,N,1.608308474352352,2.009821127534526,25
5651-1,pdf,5751-4,pdf,E,9.846292152144043,13.5666708793285,25
5651-1,pdf,5651-2,pdf,S,7.542432132430349,9.074090064076232,25
5651-1,pdf,5651-4,pdf,W,8.792918266527558,14.191915040368706,25
5651-2,pdf,5751-3,pdf,E,3.085479568212085,14.849877204887232,25
5651-2,pdf,5651-3,pdf,W,3.893726830642089,9.934401221735126,25
5651-3,pdf,5651-4,pdf,N,13.737662705354666,17.2381502746207,25
5651-4,pdf,5652-3,pdf,N,9.397707693334025,12.490670972977695,25
5652-1,pdf,5653-2,pdf,N,14.373149496036813,17.907644177045096,25
5652-1,pdf,5752-4,pdf,E,4.409968524019903,5.802210975919459,25
5652-1,pdf,5652-2,pdf,S,2.968467929454934,6.190291719191403,25
5652-1,pdf,5652-4,pdf,W,11.88387153441405,16.415594192287088,25
5652-2,pdf,5752-3,pdf,E,16.52390091258174,24.01809283251218,25
5652-2,pdf,5652-3,pdf,W,4.824235584521549,6.205309422341524,25
5652-3,pdf,5652-4,pdf,N,17.688291091994216,19.4566176303223,25
5652-4,pdf,5653-3,pdf,N,6.845866158956798,14.22767120945638,25
5653-1,pdf,5654-2,pdf,N,22.21939648590042,37.396847252608275,25
5653-1,pdf,5753-4,pdf,E,5.053575871087273,8.622216705129151,25
5653-1,pdf,5653-2,pdf,S,6.4094724514669705,10.155034351766624,25
5653-1,pdf,5653-4,pdf,W,1.5900185650387137,20.349923447855954,25
5653-2,pdf,5753-3,pdf,E,14.028403957540537,16.609292605474163,25
